keys,en,ne,NDPC Remarks,INCORRECT FOUND IN,Not found ,While doing (reason)
welcome,Welcome,स्वागत छ,Correct,,your account has been logged out sucessfully ,
hiUser,"Hi, {name}!","नमस्ते, {name}!",Correct,,mobile No.must be 10 digit,
enterYourLoginDetails,Enter your details to login,तपाईंको लगइन विवरणहरू प्रविष्ट गर्नुहोस्,correct,,Invalid number,
mobile_number,Mobile number,मोबाइल नम्बर,correct,,password must be 6 characters,
next,Next,अर्को,correct,,invalid password,
skip,Skip,छोड्नुहोस्,"still in english and correct partially, ",take a tour,Provided password authentication is invalid,
i_already_have_an_account,I already have an account,मसँग पहिले नै खाता छ,correct,,remaining attempts,
register,Register,दर्ता गर्नुहोस्,correct,,login biometrics enabled ,
password,Password,पासवर्ड,correct,,user already registered with number,
or,OR,अथवा,correct,,login to continue,
forgotPassword,Forgot password,पासवर्ड बिर्सनुभयो,correct,,goto login,
rememberMe,Remember me,मलाई सम्झनुहोस्,correct,,please select municipality,
login,Login,लग - इन,correct,,login session expired,
fingerprintLogin,Fingerprint login,फिंगरप्रिन्ट लगइन,correct,,generic error,
dont_have_an_account,Don't have an account,खाता छैन,correct,,pin must be 6-digts,
account_locked,Account locked,खाता बन्द,,,please select district,
your_account_has_been_locked,Your account has been locked due to many invalid attempt. please contact us for reactivate your account,तपाईंको खाता धेरै अवैध प्रयासका कारण लक गरिएको छ। कृपया तपाईंको खाता पुनः सक्रिय गर्न हामीलाई सम्पर्क गर्नुहोस्,,,take a tour,
contact,Contact,सम्पर्क गर्नुहोस्,,,enter amount to be load or select from below,
error,Error,त्रुटि,still in english,,select from list of payment option to load wallet,
incorrect_mobile_number_or_password,Incorrect mobile number or password,गलत मोबाइल नम्बर वा पासवर्ड,Fount Invalid number,,load wallet now,
remaining_attempt,Remaining attempt,बाकी प्रयास,still in english,,add email,
try_again,Try again,पुन:प्रयास गर्नुहोस्,partcially correct,Incorrect in key verification in progress page,referrer and referee both will get Rs. 25,
confirm_login_with_fingerprint,Confirm login with fingerprint,फिंगरप्रिन्टको साथ लगइन पुष्टि गर्नुहोस्,,,upgrade account,while trying to book flight with unverified account
touch_the_fingerprint_sensor,Touch the fingerprint sensor,फिंगरप्रिन्ट सेन्सर छुनुहोस्,correct,,this service is currently unavailable as your KYC is pending,
use_PIN,use PIN,पिन प्रयोग गर्नुहोस्,,,upgrade,while trying to book flight with unverified account
did_you_forget_your_password,Did you forget your Password ?,के तपाईंले आफ्नो पासवर्ड बिर्सनुभयो?,,,please update your kyc,
did_you_forget_your_pin,Did you forget your Pin ?,के तपाईंले आफ्नो पिन बिर्सनुभयो?,,,kyc verification failed,
enter_your_mobile_number,Enter the mobile number you've used to register with us and we will send you the OTP verification code shortly,तपाईंले दर्ता गर्न प्रयोग गर्नुभएको मोबाइल नम्बर प्रविष्ट गर्नुहोस् र हामी तपाईंलाई छिट्टै OTP प्रमाणीकरण कोड पठाउने छौँ।,,,Reject reason: ,
get_code,Get code,कोड प्राप्त गर्नुहोस्,,,update now,
otp_verification,OTP verification,ओटीपी प्रमाणिकरण,correct,,kyc verification in prorgress,
we_have_sent_an_OTP,We have sent an OTP code to your mobile number,हामीले तपाईंको मोबाइल नम्बरमा OTP कोड पठाएका छौं,still in english,,thank you for uploading your kyc documents we are reviewing them and will update you soon. ,
didnt_receive_code,Didn't receive code? request again in,कोड प्राप्त गरेन? फेरि अनुरोध गर्नुहोस्,still in english,,enter your new 4 digit pin,
set_your_new_password,set your new password,नया पासवर्ड सुरक्षित गर्नुहोस्,correct,,invalid account number,linking bank account
this_password_is_used_for_account_login,This password is used for your account login only,यो पासवर्ड तपाईको खाता लगइनको लागि मात्र प्रयोग गरिन्छ,correct,,,
new_password,New password,नया पासवर्ड,correct,,,
retype_password,Re-Type password,पासवर्ड पुन: लेख्नुहोस,correct,,,
verify,Verify,प्रमाणित गर्नुहोस्,correct,,,
save,Save,सुरक्षित गर्नुहोस्,correct,,,
success,Success,सफल भयो,correct,,,
you_have_change_your_password,You have successfully change your Namaste Pay password,तपाईंले सफलतापूर्वक आफ्नो नमस्ते पे पासवर्ड परिवर्तन गर्नुभयो,still in english,,,
login_to_resume,Login to resume your journey,तपाईंको यात्रा पुनः सुरु गर्न लगईन गर्नुहोस्,correct,,,
log_back_in,Log back in,पुन:लगइन गर्नुहोस्,found login ,,,
choose_from_saved_account_or_create_one,Choose from saved account or create one,बचत गरिएको खाताबाट छनौट गर्नुहोस् वा सिर्जना गर्नुहोस्,,,,
login_another_account,Login another account,अर्को खाता लगइन गर्नुहोस्,,,,
create_account,Create account,खाता सिर्जना गर्नुहोस्,Found create,registration page,,
enter_your_number,Enter your mobile number to get started,सुरू गर्न तपाईंको मोबाइल नम्बर प्रविष्ट गर्नुहोस्,correct,registration page,,
referrer_code,Referrer code (optional),रेफरर कोड (वैकल्पिक),correct,,,
i_accept_the_terms_and_conditions,I accept the terms & conditions and privacy policy,"म नियम, सर्त र गोपनीयता नीति स्वीकार गर्छु","Found म स्वीकार गर्छु, नियम र सर्त र गोपनीयता नीति ",,,
i_already_have_an_account_login,I already have an account? Login,मसँग पहिले नै खाता छ? लग - इन गर्नुहोस्,Found मसँग पहिले नै खाता छ? लग - इन गर्नु,,,
incorrect_mobile_number,Incorrect mobile number,गलत मोबाइल नम्बर,Found invalid number,,,
personal_details,Personal Details,व्यक्तिगत विवरण,correct,,,
fill_your_personal_details,Fill your personal details,तपाईंको व्यक्तिगत विवरणहरू भर्नुहोस्,correct,,,
first_name,First name,पहिलो नाम,correct,,,
middle_name,Middle name(optional),मध्य नाम (वैकल्पिक),correct,,,
last_name,Last name,थर,correct,,,
date_of_birth,Date of birth,जन्म मिति,correct,,,
gender,Gender,लिङ्ग,still in english,,,
select_your_gender,Select your gender,आफ्नो लिङ्ग चयन गर्नुहोस्,still in english,,,
male,Male,पुरुष,still in english,,,
female,Female,स्त्री,still in english,,,
others,Others,अन्य,still in english,,,
address_details,Address Details,ठेगाना विवरण,correct,,,
fill_your_address_details,Fill your address details,तपाईंको ठेगाना विवरणहरू भर्नुहोस्,correct,,,
province,Province,प्रदेश,still in english,,,
district,District,जिल्ला,still in english,,,
municipality,Municipality,नगरपालिका,still in english,,,
ward_no,Ward no.,वडा नं.,correct,,,
current_address,Current Address(optional),हालको ठेगाना (वैकल्पिक),correct,,,
set_your_password,Set your password,तपाईंको पासवर्ड सेट गर्नुहोस्,,,,
wow_you_have_created_your_namaste_pay_account,wow! you have successfully created your Namaste pay account,वाह! तपाईंले सफलतापूर्वक आफ्नो नमस्ते पे खाता सिर्जना गर्नुभयो,,,,
lets_start_your_journey,Let's start your journey,तपाईंको यात्रा सुरु गरौं,,,,
wallet_balance,Wallet balance,वालेट ब्यालेन्स,correct (request money),,,
quick_access,Quick access,चाँडै पहुँच,correct,,,
available_services,Available services,उपलब्ध सेवाहरू,correct,,,
ticketing_and_events_services,Ticketing and events services,टिकट र समारोह सेवाहरू,,,,
set_up_your_PIN,Set up your PIN,आफ्नो पिन सेट अप गर्नुहोस्,,,,
set_up,Set up,स्थापित गर्नु,,,,
service_search,Service search,सेवाको खोजी,incorrectly translated,,,
bank_search,Bank search,बैंक खोज,correct,,,
select_bank,Select bank,बैंक चयन गर्नुहोस्,correct,,,
savingAccount,Saving account,बचत खाता,,,,
kycUnverified,KYC unverified,KYC अप्रमाणित,correct,,,
lastLogin,Last login,अन्तिम लगइन/ पछिल्लो लगइन,correct,,,
yourKYCIsPending,Your KYC is pending,तपाईंको KYC विचाराधीन छ,correct,,,
upgradeYourAccount,Upgrade your account to unlock additional benefits,अतिरिक्त लाभहरू अनलक गर्न आफ्नो खाता अपग्रेड गर्नुहोस्,correct,,,
addNominee,Add nominee,Nomineee थप्नुहोस्,,,,
generalSettings,General settings,सामान्य सेटिङहरू,correct,,,
chooseLanguageTheme,"Choose language,theme and notification setting","भाषा, विषयवस्तु र सूचना सेटिंग छनौट गर्नुहोस्",not available,,,
securitySettings,Security settings,सुरक्षा सेटिङहरू,correct,,,
changePinAndFingerprint,Change PIN and fingerprint authentication,पिन र फिंगरप्रिन्ट प्रमाणीकरण परिवर्तन गर्नुहोस्,Found (PIN र फिंगरप्रिन्ट प्रमाणीकरण परिवर्तन गर्नुहोस्),,,
deviceAndCredentials,Device and credentials,उपकरण र प्रमाणहरू,conflict with 212 point ,,,
manageYourDeviceCredentials,Manage your device credentials,तपाईंको उपकरण प्रमाणहरू व्यवस्थापन गर्नुहोस्,conflict with 216 point,,,
kycVerified,KYC verified,KYC प्रमाणित,correct,,,
addThirdPerson,Add a third person of your account in case of unexpected events,अप्रत्याशित घटनाहरूको मामलामा तपाईंको खाताको तेस्रो व्यक्ति थप्नुहोस्,,,,
viewNominee,View nominee,मनोनित व्यक्ति हेर्नुहोस्,,,,
viewYourNominee,View your nominee details,मनोनित व्यक्तिको बिस्तृत विवरण हेर्नुहोस,,,,
kycDocument,KYC document,KYC कागजात,correct,,,
enterValidDetails,Enter valid details and upload valid documents to verify KYC details,वैध विवरणहरू प्रविष्ट गर्नुहोस् र KYC विवरणहरू प्रमाणित गर्न वैध कागजातहरू अपलोड गर्नुहोस्,correct,,,
selectDocumentType,Select document type,कागजात प्रकार चयन गर्नुहोस्,still in english,,,
documentType,Document type,कागजात प्रकार,still in english,,,
drivingLicense,Driving license,सवारीचालक अनुमतिपत्र,still in english,,,
idNumber,ID number,आईडी नम्बर,still in english,,,
uploadDocument,Upload document,कागजात अपलोड गर्नुहोस्,correct,,,
supportsPng,"Support png, jpeg, pdf (max size 2mb)","समर्थन PNG, JPEF, PDF (अधिकतम आकार 2MB)",correct,,,
frontSide,Front side,अगाडिको भाग,correct,,,
backSide,Back side,पछाडिको भाग,correct,,,
kycNotVerifiedYet,KYC not verified yet,KYC अझै प्रमाणित भएको छैन,still in english,,,
fillTheKycDetails,Fill the KYC details to be the verified customer,प्रमाणित ग्राहक हुन KYC विवरणहरू भर्नुहोस्,correct (during registration) but incorrect in profile > kyc details page,,,
viewBenefits,View benefits,लाभहरू हेर्नुहोस्,correct ,,,
relationshipDetails,Relationship details,सम्बन्ध विवरण,,,,
mothersName,Mother's name,आमाको नाम,,,,
fathersName,Father's name,बुवाको नाम,,,,
grandfathersName,Grandfather's name,हजुरबुवाको नाम,,,,
passport,Passport,राहधानी,still in english,,,
nationalId,National ID,राष्ट्रिय परिचयपत्र,still in english,,,
panCard,PAN card,प्यान कार्ड,still in english,,,
citizenship,Citizenship,नागरिकता,still in english,,,
governmentId,Government ID,सरकारी परिचयपत्र,still in english,,,
voterCard,Voter Card,मतदाता कार्ड,still in english,,,
issueDate,Issue Date,जारी मिति,,,,
choosePhoto,Choose photo,फोटो छनौट गर्नुहोस्,,,,
gallery,Gallery,ग्यालेरी,still in english,,,
kycVerification,KYC verification in-progress,KYC प्रमाणीकरण प्रक्रियामा छ,still in english,,,
weAreCurrentlyVerifying,"We are currently verifying your details, we will reach out to you within 12 hours","हामी हाल तपाईंको विवरणहरू प्रमाणीकरण गर्दैछौं, हामी १२ घण्टा भित्र तपाईंसँग सम्पर्क गर्नेछौं",still in english,,,
kycVerificationDeclined,KYC verification declined,KYC प्रमाणीकरण अस्वीकृत भयो,,,,
pleaseMakeSureThat,please make sure that all the details are filled out as per requirements,कृपया सबै विवरणहरू आवश्यकता अनुसार भरिएको छ छैन सुनिश्चित गर्नुहोस्,,,,
kycDetails,KYC Details,KYC विवरण,particially correct,kyc verification in progress page,,
fullName,Full name,पुरा नाम,correct,,,
email,Email ID,इमेल आईडी,correct,,,
address,Address,ठेगाना,correct,,,
documentDetails,Document details,कागजात विवरण,correct,,,
profilePicture,Profile Picture,प्रोफाइल तस्वीर,,,,
drivingLicenseIdNumber,Driving license ID number,सवारीचालक अनुमतिपत्र आईडी नम्बर,,,,
fillTheInformation,Fill the information to add nominee,मनोनित थप्न जानकारी भर्नुहोस्,,,,
verifyMobileNumber,Verify mobile number & save,मोबाइल नम्बर प्रमाणित गरि सुरक्षित राख्नुहोस्,,,,
nomineeVerification,Nominee verification,मनोनित प्रमाणिकरण,,,,
weHaveSentAnOtp,we have sent an OTP code to your mobile number,हामीले तपाईंको मोबाइल नम्बरमा OTP कोड पठाएका छौं,,,,
theNomineeDetailsHasSaved,The nominee details has been successfully saved,मनोनीत विवरण सफलतापूर्वक बचत गरिएको छ,,,,
ok,Ok,ठिक छ,Partcially correct,Incorrect in Profile > payment method > alert box,,
edit,Edit,सम्पादन गर्नुहोस्,,,,
language,Language,भाषा,correct,,,
theme,Theme,थीम,correct,,,
chooseEnglishOrNepaliLanguage,Choose english or nepali language,अंग्रेजी वा नेपाली भाषा छनौट गर्नुहोस्,correct,,,
layout,Layout,ढाँचा,,,,
chooseCarauselOrGrid,Choose carousel or grid,carouse वा grid छनौट गर्नुहोस्,,,,
manageNotifications,Manage notifications based on your preference,तपाईंको प्राथमिकतामा आधारित सूचनाहरू प्रबन्ध गर्नुहोस्,correct,,,
selectLanguage,Select Language,भाषा छनोट गर्नुहोस्,correct,,,
selectTheme,Select Theme,थीम चयन गर्नुहोस्,correct,,,
systemDefault,System default,पुर्वनिर्धारित सिस्टम्,coflicts with 208,,,
selectLayout,Select Layout,लेआउट चयन गर्नुहोस्,,,,
carousel,Carousel,क्यारोसेल,,,,
grid,Grid,ग्रिड,,,,
changePin,Change PIN,PIN परिवर्तन गर्नुहोस्,correct,,,
pleaseChangeYourTransactionPIN,Please change your transaction PIN,कृपया आफ्नो लेनदेन PIN परिवर्तन गर्नुहोस्,,,,
fingerprintAuthentication,Fingerprint Authentication,फिंगरप्रिन्ट प्रमाणीकरण,correct,,,
currentlyOff,Currently OFF,हाल बन्द छ,found हाल बन्द only,,,
faceUnlock,Face unlock,मुहार आकृतिले खोल्न,,,,
changePassword,Change password,पासवर्ड परिवर्तन गर्नुहोस्,correct,,,
usedForLoginOnly,Used for login only,लगइनको लागि मात्र प्रयोग,correct,,,
usedForPaymentVerification,Used for payment verification,भुक्तानी प्रमाणिकरणको लागि प्रयोग,,,,
usedForBoth,Used for both login and payment verification,लगइन र भुक्तानी प्रमाणिकरण दुवैको लागि प्रयोग,,,,
usedForLogin,Used for Login,लगइनको लागि प्रयोग,correct,,,
enterYourPin,Enter your current 4 digit PIN,तपाईंको हालको ४ अंकको PIN प्रविष्ट गर्नुहोस्,correct,,,
onceYouChangedYourPin,Once you changed your PIN you will be logged out from all your logged in devices,एकचोटि तपाईंले आफ्नो PIN परिवर्तन गरेपछि तपाईं आफ्नो लगइन भएका सबै यन्त्रहरूबाट लगआउट हुनुहुनेछ,still in english,,,
confirmYourPin,Confirm your PIN,तपाईंको PIN पुष्टि गर्नुहोस्,correct,,,
confirmYourNewPin,Confirm your new PIN,तपाईंको नयाँ पिन पुष्टि गर्नुहोस्,correct,,,
successfullyPinChange,Successfully PIN change,PIN सफलतापूर्वक परिवर्तन भयो,Found pin changed successfully ,,,
conversations,Conversations,कुराकानीहरू,,,,
other,Other,अन्य,,,,
systemDefaultChannel,System default channel,प्रणाली पूर्वनिर्धारित च्यानल,,,,
miscellaneous,Miscellaneous,विविघ,,,,
advanced,Advanced,उन्नत,,,,
allowNotificationDot,Allow notification dot,सूचना अनुमति दिनुहोस्,,,,
forgotPin,Forgot PIN?,पिन बिर्सनुभयो ?,correct,,,
profile,Profile,प्रोफाइल,,,,
myQrCode,My QR Code,मेरो क्यूआर कोड,correct,,,
