keys,en,ne,NDPC Remarks,INCORRECT FOUND IN,Not found ,While doing (reason)
linkMyBankAc,Link My Bank Account,आफ्नो बैंक खाता लिङ्क गर्नुहोस्,correct,,,
askYourFriendsToScan,Ask your friends to scan the QR and receive money to your wallet,तपाइँका साथीहरूलाई क्यूआर स्क्यान गर्न र तपाइँको वालेटमा पैसा प्राप्त गर्न अनुरोध गर्नुहोस्,correct,,,
share,Share,शेयर,correct,,,
generateDynamicQr,Generate Dynamic QR,Dynamic QR तयार गर्नुहोस्,correct,,,
scanAndPay,Scan/Pay,स्क्यान/भुक्तानी,,,,
paymentMethod,Payment Method,भुक्तानी विधि,correct,,,
saveAllYourPayment,Save all your payment method for faster processing,छिटो प्रशोधनको लागि आफ्नो सबै भुक्तानी विधि सुरक्षित गर्नुहोस्,correct,,,
fillTheInformationToLinkBankAc,Fill the information to link bank account,बैंक खाता लिङ्क गर्न जानकारी भर्नुहोस्,correct,,,
yourDetailsMustMatch,Your details must match with bank records,तपाईंको विवरणहरू बैंक रेकर्डसँग मेल खानुपर्छ,correct,,,
accountName,Account Name,खाताको नाम,correct,,,
accountNumber,Account Number,खाता नम्बर,correct,,,
noBankAcToshow,No bank account to show,देखाउनको लागि कुनै बैंक खाता छैन,,,,
saveYourPaymentMethods,Save your payment methods,छिटो प्रशोधनको लागि आफ्नो सबै भुक्तानी विधि सुरक्षित गर्नुहोस्,,,,
linkBankAc,Link Bank Account,बैंक खाता लिङ्क गर्नुहोस्,,,,
paymentMethods,Payment Methods,भुक्तानी विधिहरू,,,,
noDataToShow,No data to show,देखाउन को लागी कुनै डाटा छैन,,,,
checkYourPendingTransactions,Check your Pending Transactions,आफ्नो अपुर्ण कारोबार जाँच गर्नुहोस्,,,,
filter,Filter,फिल्टर,,,,
pendingTransaction,Pending Transaction,अपुर्ण कारोबार,,,,
manageYourAc,"Manage your account, settings and device credentials","आफ्नो खाता, सेटिङहरू र उपकरण प्रमाणहरू व्यवस्थापन गर्नुहोस्",,,,
viewYourKYC,View your KYC information,आफ्नो KYC जानकारी हेर्नुहोस्,,,,
chooseTheme,Choose theme and notification settings,थीम तथा सूचना सेटिङहरू छान्नुहोस्,correct,,,
theme,Theme,थीम,correct,,,
chooseDifferentTheme,Choose different theme Dark or Light,उज्यालो वा अँध्यारो फरक थीम छान्नुहोस,correct,,,
notifications,Notifications,सूचनाहरू,correct,,,
manageNotifications,Manage notifications based on your preferences,तपाईंको प्राथमिकताहरूमा आधारित सूचनाहरू व्यवस्थापन गर्नुहोस्,correct,,,
light,Light,उज्यालो,correct,,,
dark,Dark,अँध्यारो,correct,,,
systemDefault,System Default,प्रणाली पूर्वनिर्धारित,correct,,,
systemSettings,Security Settings,सुरक्षा सेटिङहरू,correct,,,
changePinAndFingerprint,Change PIN and fingerprint authentication,PIN र फिंगरप्रिन्ट प्रमाणीकरण परिवर्तन गर्नुहोस्,correct,,,
currentlyOff,Currently off,हाल बन्द,correct,,,
lastLogin,Last Login,पछिल्लो लगइन,correct,,,
deleteMyAc,Delete my account,मेरो खाता रद्द गर्नुहोस्,correct,,,
manageYourDeviceCredentials,Manage your device credentials,आफ्नो यन्त्र प्रमाणहरू व्यवस्थापन गर्नुहोस्,correct,,,
selectTheme,Select theme,थीम चयन गर्नुहोस्,correct,,,
generalSettings,General settings,सामान्य सेटिङहरू,correct,,,
accountAndSettings,Account and Settings,खाता र सेटिङहरू,correct,,,
referAndEarn,Refer and Earn,रिफर गर्नुहोस् र कमाउनुहोस्,correct,,,
referYourFriendAndEarn,Refer your friend and earn rewards,आफ्नो साथीलाई रिफर गर्नुहोस र पुरस्कार जित्नुहोस्,correct,,,
yourReferralID,Your referral ID,तपाईंको रेफरल आईडी,correct,,,
shareAndInvite,Share and Invite,शेयर तथा निमन्त्रणा,correct,,,
cashbackAndOffers,Cashback and Offers,क्यासब्याक तथा अफरहरु/ प्रस्तावहरू,correct,,,
viewCashbackAndOffers,View cashback and offers,क्यासब्याक र प्रस्तावहरू/अफरहरु हेर्नुहोस्,correct,,,
helpAndSupport,Help and Support,मद्दत तथा सहयोग,correct,,,
logout,Logout,लगआउट,correct,,,
version,Version,संस्करण,correct,,,
viewKYCDetails,View KYC Details,KYC विवरणहरू हेर्नुहोस्,,,,
linkAnotherBankAc,Link Another Bank Account,अर्को बैंक खाता लिङ्क गर्नुहोस्,,,,
removeAc,Remove account,खाता हटाउनुहोस्,,,,
searchBank,Search Bank,बैंक छान्नुहोस्,correct,,,
account,Account,खाता,still in english,,,
devicesThatLoggedInYourNamasteAc,Devices that logged in your Namaste account,तपाईंको नमस्ते खातामा लग इन भएका यन्त्रहरू,correct,,,
namastePayAcCredentials,Namaste Pay account credential,नमस्ते पे खाता प्रमाण पत्र,correct,,,
aboutUs,About Us,हाम्रोबारे,correct,,,
faq,FAQ’s,बारम्बार सोधिने प्रश्नहरू,correct,,,
support,Support,समर्थन,correct,,,
feedback,Feedback,प्रतिक्रिया,correct,,,
tandC,T&C,नियम र सर्त,correct,,,
quickTips,Quick Tips,द्रुत सुझावहरू,correct,,,
searchList,Search List,खोज सूची,correct,,,
customize,Customize,कस्टमाईज गर्नुहोस्,correct,,,
customizeYourQuickAccess,Customize your Quick Access,क्विक ऐक्सेसलाई कस्टमाईज गर्नुहोस्,correct,,,
reset,Reset,रिसेट गर्नुहोस्,correct,,,
recommendedServices,Recommended Services,सिफारिस गरिएका सेवाहरू,correct,,,
popularServices,Popular Services,लोकप्रिय सेवाहरू,correct,,,
attention,Attention,सतर्क,,,,
doYouWantToLogout,Do you want to logout?,के तपाई लगआउट गर्न चाहनुहुन्छ?,correct,,,
cancel,Cancel,रद्द गर्नुहोस्,correct (incorrect while booking ticket with unverified account in alert dialog box),,,
marketPlace,Market Place,हाटबजार,correct,,,
loyalty,Loyalty,वफादारी,correct,,,
enterPromoCode,Enter Promo Code,प्रोमो कोड प्रविष्ट गर्नुहोस्,correct,,,
statement,Statement,खाता विवरण,correct,,,
home,Home,गृहपृष्ट,correct,,,
merchants,Merchants,व्यापारीहरू,correct,,,
confirm,Confirm,पुष्टि गर्नुहोस्,correct,,,
services,Services,सेवाहरू,,,,
myOrders,My Orders,मेरो खरिद,correct,,,
linkBankAccountAndLoad,Link Bank account & Load,बैंक खाता लिङ्क र लोड गर्नुहोस्,correct,,,
choosePaymentMethod,Choose Payment Method,भुक्तानी विधि छनौट गर्नुहोस्,correct,,,
pin,PIN,पिन,,,,
amount,Amount,रकम,correct (generate qr),,,
generate,Generate,उत्पन्न गर्नुहोस्,,,,
scanQrCodeToSend,"Scan QR Code to send,pay","पठाउन, भुक्तान गर्न QR कोड स्क्यान गर्नुहोस्",correct,,,
linkBankAcForFast,Link bank accounts for fastest payment processing,छिटो भुक्तानी प्रक्रियाको लागि बैंक खाताहरू लिङ्क गर्नुहोस्,correct,,,
documentNumber,Document Number,कागजात नम्बर,,,,
linkedBankAc,Linked Bank Account,लिङ्क गरिएको बैंक खाता,,,,
remove,Remove,हटाउनुहोस्,,,,
removeBankAc,Remove Bank Account,बैंक खाता हटाउनुहोस्,,,,
forgotPin,Forgot PIN,पिन बिर्सनुभयो,correct,,,
accountDeletion,Account Deletion,खाता मेटाउने,correct,,,
oldPassword,Old Password,पुरानो पासवर्ड,correct,,,
knowAboutUs,"Know about us, FAQ’s, 24x7 support and provide feedback","हाम्रो बारेमा जान्नुहोस्, FAQ को, 24x7 समर्थन र प्रतिक्रिया प्रदान गर्नुहोस्",correct,,,
permanentlyDeleteMyAccount,Permanently delete my account,मेरो खाता स्थायी रूपमा मेटाउनुहोस्,still in english,,,
requestAccountDelete,Request Account Delete,खाता मेटाउन अनुरोध गर्नुहोस्,correct,,,
accountDeletionRequest,Account deletion request,खाता मेटाउन अनुरोध,correct,,,
usePassword,Use Password,पासवर्ड प्रयोग गर्नुहोस्,,,,
pleaseSetUpYourFaceId,Please set up your Face ID.,कृपया आफ्नो फेस आईडी सेटअप गर्नुहोस्।,,,,
pleaseReEnableYour,Please re-enable your Face ID.,कृपया आफ्नो फेस आईडी पुन: सक्षम गर्नुहोस्।,,,,
confirmToAuthenticate,Confirm to authenticate,प्रमाणीकरण गर्न पुष्टि गर्नुहोस्,,,,
pleaseSetUpYourBiometrics,Please set up your Biometrics.,कृपया आफ्नो बायोमेट्रिक्स सेटअप गर्नुहोस्।,,,,
settings,Settings,सेटिङहरू,,,,
viewAll,View All,सबै हेर्नुहोस्,correct,,,
termsAndConditions,Terms & Conditions,नियम र सर्त,correct,,,
privacyPolicy,Privacy Policy,गोपनीयता नीति,correct,,,
and,&,र,correct,,,
iAcceptThe,I accept the,"म स्वीकार गर्छु,",correct,,,
enterAmount,Enter Amount,रकम प्रविष्ट गर्नुहोस्,correct,,,
createAndSendDynamicQR,Create and Send Dynamic QR,डायनामिक QR सिर्जना गर्नुहोस् र पठाउनुहोस्,correct,,,
requestingAmount,Requesting Amount,रकम अनुरोध गर्दै,still in english ,request money confirmation bottom sheet,,
requestMoney,Request Money,पैसा अनुरोध गर्नुहोस्,correct,,,
enterDetails,Enter Details,विवरणहरू प्रविष्ट गर्नुहोस्,,,,
additionalServiceChargeWillBe,Additional service charge will be applicable and minimum transaction amount is Rs 100. (Bank Transfer),थप सेवा शुल्क लागु हुनेछ र न्यूनतम कारोबार रकम १०० रुपैयाँ हो।,,,,
selectCounter,Select Counter,काउन्टर चयन गर्नुहोस्,correct,,,
scNumber,SC Number,SC नम्बर,correct,,,
consumerId,Consumer ID,उपभोक्ता आईडी,correct,,,
splitYourBillAndPay,Split your bill and pay separate,आफ्नो बिल विभाजित गर्नुहोस् र छुट्टै तिर्नुहोस्,correct,,,
addMembersByMobileNumber,Add member by mobile number or from contact,मोबाइल नम्बर वा सम्पर्कबाट सदस्य थप्नुहोस्,correct,,,
splitEqually,split equally,समान रूपमा विभाजित,correct,,,
balanceAmount,Balance Amount,मौज्दात रकम,correct,,,
oneWay,One Way,एकतर्फी बाटो,,,,
roundTrip,Round Trip,राउन्ड ट्रिप,,,,
readTermsAndConditions,Read Terms and Conditions,नियम र सर्तहरू पढ्नुहोस्,,,,
getCashFromAgents,Get cash from agents,एजेन्टहरूबाट नगद प्राप्त गर्नुहोस्,,,,
remarks,Remarks,टिप्पणीहरू,Partially correct in some pages,incorrect in confirm money request bottom sheet ,,
selectPartner,Select Partner,साझेदार चयन गर्नुहोस्,,,,
controlNumber,Control Number,नियन्त्रण नम्बर,,,,
allBanks,All Banks,सबै बैंकहरू,,,,
changeBankAccountAndLoad,Change Bank Account & Load,बैंक खाता लोड गर्नुहोस् र परिवर्तन गर्नुहोस्,,,,
recent,Recent,हाल,,,,
cashOut,Cash Out,नगद बाहिर,,,,
additionalAmount,Additional amount,अतिरिक्त रकम,,,,
search,Search,खोजी गर्नुहोस् ,correct,registration proccess,,
mobileRecharge,Mobile Recharge ,मोबाइल रिचार्ज,,,,
dataPack,Data Pack,डाटा प्याक,,,,
loadWallet,Load Wallet ,लोड वालेट,,,,
sendMoney,Send Money,पैसा पठाउनुहोस्,,,,
bankTransfer,Bank Transfer,बैंक ट्रान्सफर,,,,
electricity,Electricity,बिजुली,,,,
landline,Landline,ल्यान्डलाइन,,,,
internet,Internet,इन्टरनेट,,,,
splitBill,Split Bill,स्प्लिट बिल ,,,,
tv,TV,टिभी,,,,
flightTickets,Flight Tickets,फ्लाइट टिकट,,,,
cableCar,Cable Car,केबल कार,,,,
remittance,Remittance,रेमिट्यान्स,,,,
governmentServices,Govt. Services,सरकारी सेवाहरू,,,,
rs,Rs.,रु.,,,,
operator,Operator,अपरेटर,,,,
pay,Pay,तिर्नुहोस्,,,,
noDataAvailable,No data available,कुनै डाटा उपलब्ध छैन,,,,
proceedToPay,Proceed to pay,भुक्तानी गर्न अगाडि बढ्नुहोस्,still in english ,tv bill payment page,,
minimumTransactionAmountIsNPR,Minimum Transaction Amount is NPR 100,न्यूनतम कारोबार रकम  रु १०० हो,,,,
chooseRemarks,Choose Remarks,टिप्पणी छान्नुहोस्,,,,
eBanking,e-banking,ई-बैंकिङ,,,,
mobileBanking,Mobile Banking,मोबाइल बैंकिङ,,,,
connectIps,Connect Ips,कनेक्ट Ips,,,,
card,Card,कार्ड,,,,
choosePaymentMethod,Choose Payment Method,भुक्तानी विधि छनौट गर्नुहोस्,,,,
linkedBAnkAccount,Linked BAnk Account,लिङ्क गरिएको बैंक खाता,,,,
linkBankAccountAndLoad,Link bank account and load,बैंक खाता लिङ्क गर्नुहोस् र लोड गर्नुहोस्,,,,
sendMoneyToYourContact,Send Money to your Contact,आफ्नो सम्पर्कमा पैसा पठाउनुहोस्,,,,
addToFavourite,Add to favourite,मनपर्नेमा थप्नुहोस्,correct,,,
requestMoneyFromYourContactOrAnyNamastepayID,Request money from your contact or any Namastepay ID,तपाईंको सम्पर्क वा कुनै पनि Namastepay ID बाट पैसा अनुरोध गर्नुहोस्,correct,,,
addToFavourite,Add to favourite,मनपर्नेमा थप्नुहोस्,correct,,,
createAndSendDynamicQR,Create and Send Dynamic QR,डायनामिक QR सिर्जना गर्नुहोस् र पठाउनुहोस्,correct,,,
request,Request,अनुरोध गर्नुहोस्,correct,,,
bankTransfer,Bank Transfer,बैंक स्थानान्तरण,,,,
ownAccount,Own Account,आफ्नै खाता,,,,
availableTransferBalance,Available Transfer Balance,उपलब्ध स्थानान्तरण ब्यालेन्स,,,,
noBankAccountLinked,No bank account linked,कुनै बैंक खाता लिङ्क गरिएको छैन,,,,
proceed,Proceed,अगाडि बढ्नुहोस्,,,,
electricity,Electricity,बिजुली,,,,
selectBiller,Select Biller,बिलर चयन गर्नुहोस्,,,,
nepalElectricityAuthority,Nepal Electricity Authority,नेपाल विद्युत प्राधिकरण,,,,
scNumber,SC Number,SC नम्बर,,,,
consumerID,Consumer ID,उपभोक्ता आईडी,,,,
next,Next,अर्को,,,,
landlineNumber,Landline Number,ल्यान्डलाइन नम्बर,,,,
proceedToPay,Proceed to pay,भुक्तानी गर्न अगाडि बढ्नुहोस्,,,,
selectISP,Select ISP,ISP चयन गर्नुहोस्,,,,
searchISP,Search ISP,ISP खोज्नुहोस्,,,,
allISP,All ISP's,सबै ISP,,,,
ntFTTH,NT FTTH,NT FTTH,,,,
selectBiller,Select Biller,बिलर चयन गर्नुहोस्,,,,
khanepani,Khanepani,खानेपानी,,,,
selectCounter,Select Counter,काउन्टर चयन गर्नुहोस्,,,,
customerID,Customer ID,ग्राहक आईडी,,,,
next,Next,अर्को,,,,
water,Water,पानी,,,,
splitTo,Split to ,विभाजन गर्नुहोस्,,,,
splitYourBillAndPaySeparate,Split your bill and Pay separate,आफ्नो बिल विभाजन गर्नुहोस् र अलग भुक्तानी गर्नुहोस्,,,,
add,Add,थप्नुहोस्,,,,
addMemberByMobileNumberOrFromContact,Add member by mobile number or from contact,मोबाइल नम्बर वा सम्पर्कबाट सदस्य थप्नुहोस्,,,,
yourself,Yourself,आफैलाई,,,,
splitBill,Split Bill,बिल विभाजन,,,,
searchBiller,Search Biller,बिलर खोज्नुहोस्,,,,
allBiller,All Biller,सबै बिलर,,,,
changeBank,Change Bank,बैंक खाता परिवर्तन गर्नुहोस्,,,,
selectPaymentMethod,Select Payment Method,भुक्तानी विधि छनौट गर्नुहोस्,,,,
totalAmount,Total Amount,कुल रकम,,,,
promoCode,Promo Code,प्रोमो कोड,,,,
changePromoCode,Change PromoCode,प्रोमो कोड परिवर्तन गर्नुहोस्,,,,
selectContact,Select Contact,सम्पर्क छनौट गर्नुहोस्,,,,
searchContact,Search Contact,सम्पर्क खोज्नुहोस्,,,,
sastoTicket,Sasto Ticket,Sasto Ticket,,,,
loadMoneyToYourWallet,Load money to your wallet,आफ्नो वालेटमा पैसा लोड गर्नुहोस्,,,,
favourites,Favourites,मनपर्नेहरू,,,,
loadAmount,Load Amount,रकम लोड गर्नुहोस्,,,,
loadMoneyConfirm,Load Money Confirm,लोड पैसा पुष्टि गर्नुहोस्,,,,
payFrom,Pay From,भुक्तानी गर्नुहोस्,,,,
apply,Apply,निवेदन गर्नुहोस्,,,,
selectCableCar,Select Cable Car,केबल कार चयन गर्नुहोस्,,,,
recentTransactions,Recent Transactions,हालको लेनदेन,,,,
pleaseSelectBillerFirst,Please Select Biller First,बिलर चयन गर्नुहोस्,,,,
otherAccount,Other Account,अर्को खाता,,,,
enterBankDetails,Enter Bank Details,बैंक विवरणहरू प्रविष्ट गर्नुहोस्,,,,
select,Select,चयन गर्नुहोस्,,,,
name,Name,नाम,,,,
mobile,Mobile,मोबाइल,,,,
chooseDataPack,Choose Data Pack,डाटा प्याक छान्नुहोस्,,,,
dynamicQR,Dynamic QR,Dynamic QR,,,,
voucherNo,Voucher No,भाउचर नम्बर,,,,
updateYourKYC,Update your KYC,आफ्नो KYC अपडेट गर्नुहोस्,,,,
kindlyUploadYourDocuments,Kindly upload your documents to complete your KYC.,कृपया आफ्नो KYC पूरा गर्नका लागि कागजातहरू अपलोड गर्नुहोस्।,,,,
rejectReason,Reject Reason,अस्वीकार को कारण ,,,,
takeATour,Take a tour,भ्रमण गर्नुहोस्,,,,
hiUserNameWelcome,"Hi {userName}, welcome to",(userName) तपाईंलाई स्वागत छ ।,,,,
loyaltyTierInfo,Loyalty Tier Info,वफादारी टियर जानकारी/ वफादारी स्तर जानकारी,,,,
checkYourCurrentLoyalty,Check your current Loyalty tier information here. The color changes automatically according to your tier.,यहाँ आफ्नो हालको लोयल्टी स्तर जानकारी जाँच गर्नुहोस्। रंग तपाईंको स्तर अनुसार स्वचालित रूपमा परिवर्तन हुन्छ।,,,,
devices,Devices,उपकरणहरू,,,,
credentials,Credentials,प्रमाणहरू,,,,
pleaseUpdateYourKYC,Please update your KYC.,कृपया आफ्नो KYC अपडेट गर्नुहोस्।,,,,